game_id,genre
1bc11155a82340f0ee58466e775f4c49,Platform
1bc11155a82340f0ee58466e775f4c49,RPG
992ef809b2a37399835af6b7a5080848,Adventure
992ef809b2a37399835af6b7a5080848,Platform
992ef809b2a37399835af6b7a5080848,Shooter
71fcc1c97fe8276ac7b42e077b95d553,Adventure
71fcc1c97fe8276ac7b42e077b95d553,Platform
ffb747243d5a06237e0f2d39517fe369,Adventure
41acec81864b561966aed107049d58c2,Adventure
1371f6d63a2a117ae31385749398fe07,Adventure
1371f6d63a2a117ae31385749398fe07,Shooter
b75ad1e3aa54ec164159ab2c8a0275bc,Adventure
b75ad1e3aa54ec164159ab2c8a0275bc,Indie
b75ad1e3aa54ec164159ab2c8a0275bc,Platform
b75ad1e3aa54ec164159ab2c8a0275bc,RPG
b75ad1e3aa54ec164159ab2c8a0275bc,Strategy
9b8ef963d1d38aa7e83a1bd3323031cd,Adventure
9b8ef963d1d38aa7e83a1bd3323031cd,Shooter
81d7f6d11280c25c274a9385566e32cd,Adventure
81d7f6d11280c25c274a9385566e32cd,Shooter
81d7f6d11280c25c274a9385566e32cd,Tactical
f344216e7c9bdee2efe688a603908d49,Shooter
f344216e7c9bdee2efe688a603908d49,Strategy
30b237c15b2860621067cb7621648747,Shooter
ae7a0632a7d60617041332648a2df42b,Adventure
ae7a0632a7d60617041332648a2df42b,RPG
ae7a0632a7d60617041332648a2df42b,Strategy
ae7a0632a7d60617041332648a2df42b,Tactical
ae7a0632a7d60617041332648a2df42b,Turn Based Strategy
9d6d7c397ad5e7ce2cfbdb3254ebe2d8,Adventure
9d6d7c397ad5e7ce2cfbdb3254ebe2d8,Racing
9d6d7c397ad5e7ce2cfbdb3254ebe2d8,Shooter
bc539258050d0ffccf2ea833fcf3b4f7,Adventure
bc539258050d0ffccf2ea833fcf3b4f7,Simulator
bc539258050d0ffccf2ea833fcf3b4f7,Strategy
bc539258050d0ffccf2ea833fcf3b4f7,Tactical
a8734db35e6f1c0cb91d280fc9cf8c9a,RPG
a8734db35e6f1c0cb91d280fc9cf8c9a,Simulator
a8734db35e6f1c0cb91d280fc9cf8c9a,Visual Novel
cd776bb540b497b64dab1cdad3fac234,Brawler
a9f804a432ff9697cede746de94e948e,Arcade
a9f804a432ff9697cede746de94e948e,Racing
689ba11bca8f5466e9db0d4c49243889,Adventure
689ba11bca8f5466e9db0d4c49243889,RPG
689ba11bca8f5466e9db0d4c49243889,Strategy
689ba11bca8f5466e9db0d4c49243889,Tactical
689ba11bca8f5466e9db0d4c49243889,Turn Based Strategy
991c1db8904907559e8af8bcd7e2c857,Adventure
991c1db8904907559e8af8bcd7e2c857,RPG
991c1db8904907559e8af8bcd7e2c857,Turn Based Strategy
a78cd1d452b06b8d08f22e2d1b69f8dc,Arcade
a78cd1d452b06b8d08f22e2d1b69f8dc,Indie
a78cd1d452b06b8d08f22e2d1b69f8dc,Shooter
2e9739886a269c86c922e8f3badb751b,Indie
2e9739886a269c86c922e8f3badb751b,Platform
14b495ef5a58b664cd6edb81c73c864b,Adventure
14b495ef5a58b664cd6edb81c73c864b,Platform
63e5e1d31f11a8970444c41d5e930538,Adventure
63e5e1d31f11a8970444c41d5e930538,Platform
63e5e1d31f11a8970444c41d5e930538,Shooter
06abcf8a95a2c8926b50d7f869fbbfab,Adventure
