game_id,developer
9632883902c3e73500865f50d8dd71b7,K2
9632883902c3e73500865f50d8dd71b7,Capcom
2359fe0fcb5ce9e4f4f75b8dc8910adb,Witch Beam
2359fe0fcb5ce9e4f4f75b8dc8910adb,Humble Games
4000bc21629e59296d2c9ceeb4ea42f1,Rockstar Games
4000bc21629e59296d2c9ceeb4ea42f1,Rockstar North
55a4fdd8fa0517fc3e75e15bc086cf60,Bandai Namco Entertainment
55a4fdd8fa0517fc3e75e15bc086cf60,Bandai Namco Studios
4761c7b733fb83fd53ed283f490e531b,8-4
4761c7b733fb83fd53ed283f490e531b,tobyfox
89250f4c4ea98839af086cec1ab5c485,Motive Studios
89250f4c4ea98839af086cec1ab5c485,Electronic Arts
c5c08842eb803a06fd480f37ab2b4d35,Square Enix
c5c08842eb803a06fd480f37ab2b4d35,Crystal Dynamics
725ced4a8b39f6b91ec220edbe193a6d,Nintendo EAD
725ced4a8b39f6b91ec220edbe193a6d,Nintendo
a2a05aa701c32e27347f18f7f68b0d72,Rare
64fbcc03d4070e550ff78d5af03ddcfe,Annapurna Interactive
64fbcc03d4070e550ff78d5af03ddcfe,Giant Sparrow
5bbfa88dcfab8e875031def3e4a18ddc,Capcom
5bbfa88dcfab8e875031def3e4a18ddc,Capcom Development Division 2
f517418e99abdd862b3dfdd66c9a901b,Nintendo
f517418e99abdd862b3dfdd66c9a901b,Game Freak
796bab1b1cb295a158b5d0e7f75b54f4,Square Enix
8689ab268595e5c65dc376484c660802,Ubisoft Montreal
8689ab268595e5c65dc376484c660802,Ubisoft Entertainment
3266bd58204739b6fe3995c2b70e8632,Nintendo
3266bd58204739b6fe3995c2b70e8632,Game Freak
688a97c39bfce7d9adba4e5e3556340d,EA Redwood Shores
688a97c39bfce7d9adba4e5e3556340d,Electronic Arts
df49f728eeb84ce34e203625caa3049f,Nintendo
910f986daa600771bd04e4267c39370d,Sony Interactive Entertainment
910f986daa600771bd04e4267c39370d,Bluepoint Games
f6901a8d14e75bb43728d836f0b4c675,Guerrilla Games
f6901a8d14e75bb43728d836f0b4c675,Sony Interactive Entertainment
c8a79e364886ac1c8cafa0a08b001fc1,SCE Santa Monica Studio
c8a79e364886ac1c8cafa0a08b001fc1,Sony Computer Entertainment
e1de3891d24dd3aa2b158065aef73b94,Quantic Dream
e1de3891d24dd3aa2b158065aef73b94,Sony Interactive Entertainment
548be0ea1868e6534c823d8920930734,Square Enix
8954e5985d6a3c1dceae6289620a6963,Omega Force
8954e5985d6a3c1dceae6289620a6963,Sega
1055fab00e1f463b3c2ff2ace00b5156,Microsoft Game Studios
1055fab00e1f463b3c2ff2ace00b5156,Playdead
67263186fd9738b8996fafc1ccb5bba6,Nintendo
67263186fd9738b8996fafc1ccb5bba6,Game Freak
75c502c22f8bc1750edc55ed62406971,Team NINJA
75c502c22f8bc1750edc55ed62406971,Square Enix
fee32b667774ed134b8b30a6efdf1a19,Capcom
